player_id,player_name,team,age,gp,minutes,points,rebounds,assists,steals,blocks,fg_pct,fg3_pct,fg3a,ft_pct,plus_minus,off_rating,def_rating,net_rating,usage_pct,true_shooting_pct,pie,ast_pct,reb_pct,points_pg,rebounds_pg,assists_pg,steals_pg,blocks_pg,fg3a_pg,minutes_pg,season,name_norm,source,salary,guaranteed
1627736.0,Malik Beasley,DET,28.0,82.0,2282.9466666666667,1336.0,214.0,139.0,73.0,5.0,0.43,0.416,766.0,0.679,175.0,113.3,110.2,3.1,0.215,0.59,0.091,0.089,0.045,16.29,2.61,1.7,0.89,0.06,9.34,27.84,2025-26,malik beasley,stats,,
1641842.0,Ronald Holland II,DET,19.0,81.0,1266.3216666666667,522.0,218.0,82.0,49.0,17.0,0.474,0.238,151.0,0.754,-55.0,109.8,110.9,-1.0,0.177,0.556,0.078,0.095,0.083,6.44,2.69,1.01,0.6,0.21,1.86,15.63,2025-26,ronald holland,stats,,
203915.0,Spencer Dinwiddie,DAL,32.0,79.0,2136.085,872.0,209.0,349.0,70.0,17.0,0.416,0.334,326.0,0.802,-222.0,110.1,115.1,-5.0,0.175,0.553,0.089,0.228,0.048,11.04,2.65,4.42,0.89,0.22,4.13,27.04,2025-26,spencer dinwiddie,stats,,
1641741.0,Ricky Council IV,PHI,23.0,73.0,1250.015,532.0,214.0,97.0,32.0,13.0,0.382,0.258,213.0,0.804,-159.0,109.9,116.0,-6.1,0.196,0.502,0.08,0.115,0.084,7.29,2.93,1.33,0.44,0.18,2.92,17.12,2025-26,ricky council,stats,,
1626168.0,Trey Lyles,SAC,29.0,69.0,1349.5216666666668,451.0,316.0,82.0,41.0,23.0,0.42,0.34,238.0,0.7,-70.0,111.8,113.8,-2.0,0.139,0.551,0.087,0.084,0.114,6.54,4.58,1.19,0.59,0.33,3.45,19.56,2025-26,trey lyles,stats,,
1630548.0,Johnny Juzang,UTA,24.0,64.0,1269.83,571.0,184.0,68.0,39.0,8.0,0.429,0.376,314.0,0.849,-357.0,107.2,120.3,-13.1,0.174,0.573,0.071,0.08,0.07,8.92,2.88,1.06,0.61,0.12,4.91,19.84,2025-26,johnny juzang,stats,,
1630215.0,Jared Butler,PHI,24.0,60.0,1043.735,541.0,110.0,220.0,42.0,13.0,0.448,0.355,169.0,0.824,-131.0,108.5,114.5,-6.0,0.222,0.549,0.102,0.317,0.049,9.02,1.83,3.67,0.7,0.22,2.82,17.4,2025-26,jared butler,stats,,
1629659.0,Talen Horton-Tucker,CHI,24.0,58.0,723.695,379.0,100.0,83.0,21.0,11.0,0.457,0.336,122.0,0.735,19.0,111.4,109.8,1.7,0.208,0.567,0.09,0.162,0.063,6.53,1.72,1.43,0.36,0.19,2.1,12.48,2025-26,talen hortontucker,stats,,
1629003.0,Shake Milton,LAL,28.0,57.0,836.2766666666666,315.0,104.0,102.0,25.0,4.0,0.453,0.358,106.0,0.797,-118.0,106.2,113.1,-6.9,0.162,0.563,0.081,0.184,0.061,5.53,1.82,1.79,0.44,0.07,1.86,14.67,2025-26,shake milton,stats,,
1628998.0,Cody Martin,PHX,29.0,53.0,1173.2066666666667,358.0,224.0,105.0,56.0,32.0,0.418,0.285,151.0,0.705,-105.0,108.1,111.3,-3.2,0.142,0.509,0.08,0.128,0.088,6.75,4.23,1.98,1.06,0.6,2.85,22.14,2025-26,cody martin,stats,,
1627732.0,Ben Simmons,LAC,28.0,51.0,1119.6933333333334,256.0,241.0,285.0,38.0,23.0,0.52,0.0,0.0,0.727,-56.0,111.7,113.5,-1.8,0.133,0.539,0.103,0.358,0.113,5.02,4.73,5.59,0.75,0.45,0.0,21.95,2025-26,ben simmons,stats,,
202709.0,Cory Joseph,ORL,33.0,50.0,611.7333333333333,177.0,74.0,72.0,26.0,4.0,0.403,0.364,107.0,0.778,35.0,110.5,106.9,3.6,0.126,0.547,0.075,0.166,0.06,3.54,1.48,1.44,0.52,0.08,2.14,12.23,2025-26,cory joseph,stats,,
202692.0,Alec Burks,MIA,33.0,49.0,863.4966666666667,356.0,124.0,55.0,28.0,7.0,0.424,0.425,207.0,0.776,110.0,113.5,107.6,5.9,0.16,0.608,0.088,0.09,0.07,7.27,2.53,1.12,0.57,0.14,4.22,17.62,2025-26,alec burks,stats,,
1629610.0,DaQuan Jeffries,CHA,27.0,47.0,1071.506666666667,315.0,135.0,53.0,26.0,25.0,0.405,0.335,164.0,0.8,-276.0,106.6,118.2,-11.6,0.136,0.518,0.046,0.073,0.06,6.7,2.87,1.13,0.55,0.53,3.49,22.8,2025-26,daquan jeffries,stats,,
203458.0,Alex Len,LAL,32.0,46.0,379.79,74.0,95.0,38.0,9.0,21.0,0.508,0.222,9.0,0.471,-153.0,101.4,118.9,-17.5,0.101,0.525,0.057,0.143,0.118,1.61,2.07,0.83,0.2,0.46,0.2,8.26,2025-26,alex len,stats,,
1641810.0,Antonio Reeves,NOP,24.0,44.0,659.5583333333333,305.0,63.0,39.0,21.0,4.0,0.456,0.395,129.0,0.8,-150.0,107.3,117.5,-10.2,0.183,0.579,0.072,0.089,0.047,6.93,1.43,0.89,0.48,0.09,2.93,14.99,2025-26,antonio reeves,stats,,
1631115.0,Orlando Robinson,TOR,24.0,44.0,769.8016666666666,303.0,220.0,77.0,17.0,16.0,0.444,0.327,52.0,0.771,-87.0,104.5,109.2,-4.8,0.177,0.519,0.088,0.152,0.127,6.89,5.0,1.75,0.39,0.36,1.18,17.5,2025-26,orlando robinson,stats,,
1630231.0,KJ Martin,UTA,24.0,43.0,911.4983333333332,274.0,125.0,48.0,17.0,22.0,0.552,0.259,58.0,0.787,-142.0,109.3,117.4,-8.1,0.112,0.618,0.061,0.074,0.067,6.37,2.91,1.12,0.4,0.51,1.35,21.2,2025-26,kj martin,stats,,
1630527.0,Brandon Boston,NOP,23.0,42.0,992.78,448.0,134.0,92.0,53.0,9.0,0.436,0.35,140.0,0.788,-140.0,108.6,114.8,-6.2,0.199,0.535,0.085,0.14,0.065,10.67,3.19,2.19,1.26,0.21,3.33,23.64,2025-26,brandon boston,stats,,
1630288.0,Jeff Dowtin Jr.,PHI,28.0,41.0,620.77,285.0,60.0,78.0,24.0,12.0,0.487,0.4,70.0,0.733,-103.0,107.6,116.7,-9.2,0.176,0.57,0.106,0.196,0.047,6.95,1.46,1.9,0.59,0.29,1.71,15.14,2025-26,jeff dowtin,stats,,
1630556.0,Kessler Edwards,DAL,24.0,40.0,608.46,168.0,115.0,42.0,19.0,20.0,0.496,0.407,54.0,0.923,-158.0,110.0,122.3,-12.3,0.11,0.597,0.067,0.09,0.096,4.2,2.88,1.05,0.48,0.5,1.35,15.21,2025-26,kessler edwards,stats,,
1630539.0,Kai Jones,DAL,24.0,40.0,468.37,198.0,125.0,25.0,15.0,23.0,0.798,0.2,5.0,0.719,-21.0,107.0,109.2,-2.3,0.128,0.804,0.131,0.08,0.133,4.95,3.12,0.62,0.38,0.57,0.12,11.71,2025-26,kai jones,stats,,
1626153.0,Delon Wright,NYK,33.0,40.0,634.4966666666667,125.0,66.0,77.0,35.0,12.0,0.344,0.274,73.0,0.6,1.0,106.1,106.3,-0.2,0.111,0.44,0.061,0.162,0.051,3.12,1.65,1.92,0.88,0.3,1.82,15.86,2025-26,delon wright,stats,,
202684.0,Tristan Thompson,CLE,34.0,40.0,328.17,69.0,134.0,24.0,2.0,11.0,0.437,0.0,3.0,0.233,-85.0,97.2,109.8,-12.5,0.123,0.41,0.083,0.109,0.177,1.72,3.35,0.6,0.05,0.28,0.08,8.2,2025-26,tristan thompson,stats,,
1641732.0,Colby Jones,WAS,23.0,39.0,514.6483333333333,157.0,87.0,44.0,26.0,13.0,0.457,0.327,49.0,0.657,-112.0,104.4,114.8,-10.4,0.138,0.544,0.078,0.123,0.08,4.03,2.23,1.13,0.67,0.33,1.26,13.2,2025-26,colby jones,stats,,
1628464.0,Daniel Theis,NOP,33.0,38.0,621.2416666666667,162.0,164.0,60.0,18.0,20.0,0.473,0.243,37.0,0.838,-61.0,109.3,115.2,-5.9,0.111,0.558,0.081,0.131,0.122,4.26,4.32,1.58,0.47,0.53,0.97,16.35,2025-26,daniel theis,stats,,
1641998.0,Trey Jemison III,LAL,25.0,38.0,392.0233333333333,95.0,105.0,16.0,9.0,15.0,0.554,0.0,0.0,0.394,-18.0,105.6,107.8,-2.2,0.121,0.537,0.044,0.058,0.128,2.5,2.76,0.42,0.24,0.39,0.0,10.32,2025-26,trey jemison,stats,,
1631288.0,Jamal Cain,NOP,26.0,37.0,501.79833333333335,196.0,85.0,22.0,23.0,9.0,0.43,0.325,80.0,0.68,-132.0,106.4,119.3,-12.9,0.167,0.544,0.067,0.065,0.082,5.3,2.3,0.59,0.62,0.24,2.16,13.56,2025-26,jamal cain,stats,,
201959.0,Taj Gibson,CHA,40.0,37.0,408.85,107.0,120.0,21.0,9.0,18.0,0.495,0.5,2.0,0.6,-124.0,96.6,110.4,-13.8,0.132,0.515,0.068,0.081,0.133,2.89,3.24,0.57,0.24,0.49,0.05,11.05,2025-26,taj gibson,stats,,
1641736.0,Reece Beekman,BKN,23.0,36.0,469.3033333333333,93.0,39.0,63.0,33.0,2.0,0.327,0.175,40.0,0.762,-117.0,98.5,110.4,-12.0,0.122,0.4,0.051,0.205,0.041,2.58,1.08,1.75,0.92,0.06,1.11,13.04,2025-26,reece beekman,stats,,
1629626.0,Bol Bol,PHX,25.0,36.0,448.48333333333335,244.0,104.0,22.0,9.0,25.0,0.525,0.344,93.0,0.769,-37.0,112.1,115.9,-3.9,0.204,0.627,0.114,0.071,0.113,6.78,2.89,0.61,0.25,0.69,2.58,12.46,2025-26,bol bol,stats,,
1642354.0,KJ Simpson,CHA,22.0,36.0,842.0833333333334,282.0,109.0,112.0,34.0,6.0,0.346,0.254,130.0,0.82,-278.0,101.0,116.4,-15.4,0.188,0.437,0.06,0.21,0.06,7.83,3.03,3.11,0.94,0.17,3.61,23.39,2025-26,kj simpson,stats,,
1631111.0,Wendell Moore Jr.,CHA,23.0,36.0,498.9166666666667,150.0,95.0,42.0,20.0,5.0,0.468,0.341,41.0,0.818,-134.0,99.6,112.0,-12.4,0.133,0.553,0.083,0.13,0.09,4.17,2.64,1.17,0.56,0.14,1.14,13.86,2025-26,wendell moore,stats,,
1641774.0,Tristan Vukcevic,WAS,22.0,35.0,512.51,330.0,130.0,39.0,11.0,23.0,0.496,0.373,102.0,0.776,-125.0,102.6,114.3,-11.7,0.252,0.608,0.127,0.136,0.116,9.43,3.71,1.11,0.31,0.66,2.91,14.64,2025-26,tristan vukcevic,stats,,
1631223.0,David Roddy,HOU,24.0,33.0,409.7533333333333,153.0,84.0,35.0,14.0,9.0,0.456,0.311,61.0,0.769,-76.0,106.4,114.6,-8.2,0.159,0.561,0.089,0.121,0.101,4.64,2.55,1.06,0.42,0.27,1.85,12.42,2025-26,david roddy,stats,,
1629629.0,Cam Reddish,LAL,25.0,33.0,589.45,105.0,66.0,22.0,33.0,10.0,0.404,0.277,47.0,0.615,-91.0,107.6,115.9,-8.4,0.084,0.498,0.04,0.049,0.056,3.18,2.0,0.67,1.0,0.3,1.42,17.86,2025-26,cam reddish,stats,,
202704.0,Reggie Jackson,PHI,35.0,31.0,383.9916666666667,136.0,42.0,45.0,16.0,3.0,0.391,0.338,74.0,0.778,-19.0,108.3,111.8,-3.5,0.17,0.496,0.067,0.172,0.055,4.39,1.35,1.45,0.52,0.1,2.39,12.39,2025-26,reggie jackson,stats,,
1626158.0,Richaun Holmes,WAS,31.0,31.0,534.135,230.0,177.0,42.0,9.0,23.0,0.647,0.0,3.0,0.833,-36.0,110.2,114.5,-4.3,0.143,0.695,0.135,0.112,0.161,7.42,5.71,1.35,0.29,0.74,0.1,17.23,2025-26,richaun holmes,stats,,
1630243.0,Trevelin Queen,ORL,28.0,31.0,430.28,152.0,54.0,38.0,31.0,10.0,0.381,0.286,77.0,0.857,-86.0,101.9,111.1,-9.2,0.176,0.486,0.071,0.141,0.063,4.9,1.74,1.23,1.0,0.32,2.48,13.88,2025-26,trevelin queen,stats,,
